chrom	start	end	strand	name	commonName	type	source	novel
chr01	152983	154775	+	YAR002W	NUP60	ORF-T	SGD	FALSE
chr01	155703	157591	+	YAR003W	SWD1	ORF-T	SGD	FALSE
chr01	159631	160640	+	YAR008W	SEN34	ORF-T	SGD	FALSE
chr01	170070	171270	+	YAR015W	ADE1	ORF-T	SGD	FALSE
chr01	171716	172585	+	CUT004	CUT004	CUT	XU09	FALSE
chr01	172697	173024	+	CUT004	CUT004	CUT	XU09	FALSE
chr01	176133	177030	+	YAR019W-A	YAR019W-A	other	XU09	FALSE
chr01	194317	196531	+	YAR035W	YAT1	ORF-T	SGD	FALSE
chr01	196670	201260	+	YAR042W	SWH1	ORF-T	SGD	FALSE
chr01	201342	202569	+	SY_A0054W	SY_A0054W	SUT	genenv	TRUE
chr01	202834	204123	+	SUT004	SUT004	SUT	XU09	FALSE
chr01	204755	205739	+	SY_A0056W	SUT_SY0006	SUT	XU11	FALSE
chr01	3544	4777	-	SY_A0057C	SY_A0057C	SUT	genenv	TRUE
chr01	5143	6288	-	SUT432	SUT432	SUT	XU09	FALSE
chr01	6562	6944	-	SY_A0059C	SY_A0059C	SUT	genenv	TRUE
chr01	6999	9267	-	YAL067C	SEO1	ORF-T	SGD	TRUE
chr01	28385	29514	-	SUT433	SUT433	SUT	XU09	FALSE
chr01	29355	30465	-	SUT433	SUT433	SUT	XU09	FALSE
chr01	31457	32264	-	SY_A0063C	SY_A0063C	SUT	genenv	TRUE
chr01	32274	33532	-	SUT434	SUT434	SUT	XU09	FALSE
chr01	33619	35108	-	SUT435	SUT435	SUT	XU09	FALSE
chr01	35249	35454	-	CUT438	CUT438	CUT	XU09	FALSE
chr01	43423	45762	-	YAL054C	ACS1	ORF-T	SGD	FALSE
chr01	43460	44277	-	YAL054C	ACS1	ORF-T	SGD	FALSE
chr01	45779	46398	-	SY_A0069C	SY_A0069C	SUT	genenv	TRUE
chr01	52460	53382	-	YAL049C	AIM2	ORF-T	SGD	FALSE
chr01	53398	55582	-	YAL048C	GEM1	ORF-T	SGD	FALSE
chr01	55678	57655	-	YAL047C	SPC72	ORF-T	SGD	FALSE
chr01	57663	58159	-	YAL046C	AIM1	ORF-T	SGD	FALSE
chr01	58599	59223	-	YAL044C	GCV3	ORF-T	SGD	FALSE
chr01	59335	61831	-	YAL043C	PTA1	ORF-T	SGD	FALSE
chr01	66143	68575	-	YAL040C	CLN3	ORF-T	SGD	FALSE
chr01	69375	70287	-	YAL039C	CYC3	ORF-T	SGD	FALSE
chr01	70412	70855	-	SY_A0078C	SY_A0078C	SUT	genenv	TRUE
chr01	72654	73718	-	SY_A0079C	SY_A0079C	SUT	genenv	TRUE
chr01	74465	75456	-	SY_A0080C	SY_A0080C	SUT	genenv	TRUE
chr01	75605	76958	-	YAL036C	RBG1	ORF-T	SGD	FALSE
chr01	80044	80283	-	SY_A0082C	SY_A0082C	SUT	genenv	TRUE
chr01	81349	83349	-	YAL034C	FUN19	ORF-T	SGD	FALSE
chr01	83997	85269	-	YAL032C	PRP45	ORF-T	SGD	FALSE
chr01	85486	87838	-	YAL031C	GIP4	ORF-T	SGD	FALSE
chr01	88446	93270	-	YAL029C	MYO4	ORF-T	SGD	FALSE
chr01	96246	100554	-	YAL026C	DRS2	ORF-T	SGD	FALSE
chr01	100810	101922	-	YAL025C	MAK16	ORF-T	SGD	FALSE
chr01	102251	106755	-	YAL024C	LTE1	ORF-T	SGD	FALSE
chr01	106916	109436	-	YAL023C	PMT2	ORF-T	SGD	FALSE
chr01	109612	111212	-	YAL022C	FUN26	ORF-T	SGD	FALSE
chr01	111373	114206	-	YAL021C	CCR4	ORF-T	SGD	FALSE
chr01	114318	115455	-	YAL020C	ATS1	ORF-T	SGD	FALSE
chr01	126346	126844	-	SY_A0094C	SY_A0094C	SUT	genenv	TRUE
chr01	127503	128847	-	YAL015C	NTG1	ORF-T	SGD	FALSE
chr01	128927	129847	-	YAL014C	SYN8	ORF-T	SGD	FALSE
chr01	131398	132758	-	SY_A0097C	SY_A0097C	SUT	genenv	TRUE
chr01	134333	134829	-	SY_A0098C	SY_A0098C	SUT	genenv	TRUE
chr01	134855	136465	-	YAL010C	MDM10	ORF-T	SGD	FALSE
chr01	138337	139225	-	YAL007C	ERP2	ORF-T	SGD	FALSE
chr01	139406	139788	-	SY_A0101C	SY_A0101C	SUT	genenv	TRUE
chr01	140137	142457	-	YAL005C	SSA1	ORF-T	SGD	FALSE
chr01	143539	144119	-	SY_A0103C	SY_A0103C	SUT	genenv	TRUE
chr01	148294	151990	-	YAL001C	TFC3	ORF-T	SGD	FALSE
chr01	154667	155547	-	YAR002C-A	ERP1	ORF-T	SGD	FALSE
chr01	157515	159483	-	YAR007C	RFA1	ORF-T	SGD	FALSE
chr01	168310	169814	-	YAR014C	BUD14	ORF-T	SGD	FALSE
chr01	171010	172522	-	YAR018C	KIN3	ORF-T	SGD	FALSE
chr01	172925	175984	-	YAR019C	CDC15	ORF-T	SGD	FALSE
chr01	198296	199830	-	SY_A0110C	SY_A0110C	SUT	genenv	TRUE
chr01	200551	203098	-	SY_A0111C	SUT_SY0606	SUT	XU11	FALSE
chr01	201114	202452	-	SY_A0112C	SUT_SY0605	SUT	XU11	FALSE
chr01	204079	206335	-	YAR047C	YAR047C	ORF-T	SGD	TRUE
chr02	8479	8917	+	SY_B0001W	SY_B0001W	SUT	genenv	TRUE
chr02	11057	14105	+	SY_B0002W	SUT_SY0007	SUT	XU11	FALSE
chr02	18859	19644	+	SY_B0003W	SY_B0003W	SUT	genenv	TRUE
chr02	24150	25062	+	YBL102W	SFT2	ORF-T	SGD	FALSE
chr02	36895	39112	+	YBL099W	ATP1	ORF-T	SGD	FALSE
chr02	39288	40744	+	YBL098W	BNA4	ORF-T	SGD	FALSE
chr02	40952	43328	+	YBL097W	BRN1	ORF-T	SGD	FALSE
chr02	43328	44385	+	YBL095W	YBL095W	ORF-T	SGD	FALSE
chr02	45714	46666	+	YBL092W	RPL32	ORF-T	SGD	FALSE
chr02	46854	47476	+	SUT005	SUT005	SUT	XU09	FALSE
chr02	48962	49610	+	YBL090W	MRP21	ORF-T	SGD	FALSE
chr02	49714	51210	+	YBL089W	AVT5	ORF-T	SGD	FALSE
chr02	60304	60925	+	SY_B0013W	SY_B0013W	SUT	genenv	TRUE
chr02	63840	67120	+	YBL085W	BOI1	ORF-T	SGD	FALSE
chr02	71763	73288	+	YBL081W	YBL081W	ORF-T	SGD	FALSE
chr02	75401	80041	+	YBL079W	NUP170	ORF-T	SGD	FALSE
chr02	82799	83639	+	SY_B0017W	SY_B0017W	SUT	genenv	TRUE
chr02	88282	88626	+	snR56	SNR56	other	SGD	FALSE
chr02	90162	90698	+	YBL071W-A	KTI11	ORF-T	SGD	FALSE
chr02	90882	92354	+	YBL069W	AST1	ORF-T	SGD	FALSE
chr02	92562	93811	+	YBL068W	PRS4	ORF-T	SGD	FALSE
chr02	96596	98332	+	CUT006	CUT006	CUT	XU09	FALSE
chr02	99575	100434	+	SY_B0023W	SY_B0023W	SUT	genenv	TRUE
chr02	102091	105459	+	YBL063W	KIP1	ORF-T	SGD	FALSE
chr02	107907	110227	+	YBL060W	YEL1	ORF-T	SGD	FALSE
chr02	110899	111627	+	YBL059W	YBL059W	ORF-T	SGD	FALSE
chr02	111643	113059	+	YBL058W	SHP1	ORF-T	SGD	FALSE
chr02	113859	115796	+	YBL056W	PTC3	ORF-T	SGD	FALSE
chr02	117484	119586	+	YBL054W	TOD6	ORF-T	SGD	FALSE
chr02	121631	122173	+	SY_B0030W	SY_B0030W	SUT	genenv	TRUE
chr02	122201	122918	+	SY_B0031W	SY_B0031W	SUT	genenv	TRUE
chr02	125282	126434	+	YBL050W	SEC17	ORF-T	SGD	FALSE
chr02	126813	127700	+	YBL049W	MOH1	ORF-T	SGD	FALSE
chr02	127709	128001	+	SY_B0034W	SY_B0034W	SUT	genenv	TRUE
chr02	132634	134388	+	YBL046W	PSY4	ORF-T	SGD	FALSE
chr02	136379	136781	+	SY_B0036W	SY_B0036W	SUT	genenv	TRUE
chr02	136825	137874	+	YBL043W	ECM13	ORF-T	SGD	FALSE
chr02	138024	138865	+	SY_B0038W	SY_B0038W	SUT	genenv	TRUE
chr02	141252	142388	+	YBL041W	PRE7	ORF-T	SGD	FALSE
chr02	143364	143924	+	YBL039W-B	YBL039W-B	ORF-T	SGD	FALSE
chr02	144365	145188	+	SY_B0041W	SY_B0041W	SUT	genenv	TRUE
chr02	146420	147180	+	YBL038W	MRPL16	ORF-T	SGD	FALSE
chr02	147380	150668	+	YBL037W	APL3	ORF-T	SGD	FALSE
chr02	152534	153923	+	SY_B0044W	SY_B0044W	SUT	genenv	TRUE
chr02	160373	161733	+	YBL032W	HEK2	ORF-T	SGD	FALSE
chr02	161950	163070	+	YBL031W	SHE1	ORF-T	SGD	FALSE
chr02	164742	165262	+	SUT006	SUT006	SUT	XU09	FALSE
chr02	166386	167642	+	YBL029W	YBL029W	ORF-T	SGD	FALSE
chr02	168655	169807	+	YBL027W	RPL19B	ORF-T	SGD	FALSE
chr02	170845	171445	+	YBL026W	LSM2	ORF-T	SGD	FALSE
chr02	171718	172510	+	YBL025W	RRN10	ORF-T	SGD	FALSE
chr02	172814	174974	+	YBL024W	NCL1	ORF-T	SGD	FALSE
chr02	176802	177515	+	SY_B0053W	SY_B0053W	SUT	genenv	TRUE
chr02	180274	180585	+	SY_B0054W	SY_B0054W	SUT	genenv	TRUE
chr02	181882	182485	+	SY_B0055W	SY_B0055W	SUT	genenv	TRUE
chr02	182654	184510	+	YBL020W	RFT1	ORF-T	SGD	FALSE
chr02	184583	186287	+	YBL019W	APN2	ORF-T	SGD	FALSE
chr02	192679	193959	+	YBL016W	FUS3	ORF-T	SGD	FALSE
chr02	194335	196183	+	YBL015W	ACH1	ORF-T	SGD	FALSE
chr02	196615	197055	+	SUT007	SUT007	SUT	XU09	FALSE
chr02	197086	197415	+	SY_B0061W	SY_B0061W	SUT	genenv	TRUE
chr02	198384	198932	+	SY_B0062W	SY_B0062W	SUT	genenv	TRUE
chr02	199071	199366	+	SY_B0063W	SY_B0063W	SUT	genenv	TRUE
chr02	199399	200238	+	SY_B0064W	SY_B0064W	SUT	genenv	TRUE
chr02	202349	203750	+	YBL013W	FMT1	ORF-T	SGD	FALSE
chr02	203766	206270	+	YBL011W	SCT1	ORF-T	SGD	FALSE
chr02	207470	209638	+	YBL009W	ALK2	ORF-T	SGD	FALSE
chr02	209878	212550	+	YBL008W	HIR1	ORF-T	SGD	FALSE
chr02	217015	217583	+	YBL006W-A	YBL006W-A	ORF-T	SGD	TRUE
chr02	217719	219975	+	YBL005W	PDR3	ORF-T	SGD	FALSE
chr02	227841	235537	+	YBL004W	UTP20	ORF-T	SGD	FALSE
chr02	236561	237458	+	YBL002W	HTB2	ORF-T	SGD	FALSE
chr02	238803	239229	+	SUT008	SUT008	SUT	XU09	FALSE
chr02	241986	243045	+	SUT009	SUT009	SUT	XU09	FALSE
chr02	243109	244693	+	YBR003W	COQ1	ORF-T	SGD	FALSE
chr02	246152	247008	+	YBR005W	RCR1	ORF-T	SGD	FALSE
chr02	247192	248936	+	YBR006W	UGA2	ORF-T	SGD	FALSE
chr02	249478	250538	+	SY_B0078W	SY_B0078W	SUT	genenv	TRUE
chr02	251945	252441	+	SUT010	SUT010	SUT	XU09	FALSE
chr02	253279	254814	+	SY_B0080W	SY_B0080W	SUT	genenv	TRUE
chr02	254962	255212	+	SUT011	SUT011	SUT	XU09	FALSE
chr02	256629	257237	+	YBR010W	HHT1	ORF-T	SGD	FALSE
chr02	257493	258213	+	SY_B0083W	SUT_SY0015	SUT	XU11	FALSE
chr02	266729	266875	+	SY_B0084W	SY_B0084W	SUT	genenv	TRUE
chr02	270119	270535	+	SUT012	SUT012	SUT	XU09	FALSE
chr02	270551	271263	+	YBR016W	YBR016W	ORF-T	SGD	FALSE
chr02	271370	272357	+	SY_B0087W	SY_B0087W	SUT	genenv	TRUE
chr02	277087	279159	+	SUT013	SUT013	SUT	XU09	FALSE
chr02	279183	281103	+	YBR020W	GAL1	ORF-T	SGD	FALSE
chr02	281671	283855	+	YBR021W	FUR4	ORF-T	SGD	FALSE
chr02	283991	284735	+	YBR022W	POA1	ORF-T	SGD	FALSE
chr02	288583	289080	+	SY_B0092W	SUT_SY0018	SUT	XU11	FALSE
chr02	289680	290904	+	YBR024W	SCO2	ORF-T	SGD	FALSE
chr02	292787	293116	+	SY_B0094W	SY_B0094W	SUT	genenv	TRUE
chr02	298344	300372	+	YBR030W	RKM3	ORF-T	SGD	FALSE
chr02	300444	301732	+	YBR031W	RPL4A	ORF-T	SGD	FALSE
chr02	302107	305286	+	YBR033W	EDS1	ORF-T	SGD	TRUE
chr02	304299	305177	+	YBR033W	EDS1	ORF-T	SGD	TRUE
chr02	307908	309252	+	TLC1	TLC1	other	SGD	FALSE
chr02	312173	315317	+	YBR038W	CHS2	ORF-T	SGD	FALSE
chr02	315838	317014	+	YBR039W	ATP3	ORF-T	SGD	FALSE
chr02	317311	318334	+	YBR040W	FIG1	ORF-T	SGD	TRUE
chr02	318561	320721	+	YBR041W	FAT1	ORF-T	SGD	FALSE
chr02	324730	325644	+	CUT014	CUT014	CUT	XU09	FALSE
chr02	326229	326996	+	SY_B0105W	SY_B0105W	SUT	genenv	TRUE
chr02	327325	327910	+	SY_B0106W	SY_B0106W	SUT	genenv	TRUE
chr02	329738	330724	+	SY_B0107W	SY_B0107W	SUT	genenv	TRUE
chr02	332174	332742	+	YBR047W	FMP23	ORF-T	SGD	FALSE
chr02	333086	334391	+	YBR048W	RPS11B	ORF-T	SGD	FALSE
chr02	334599	335659	+	SY_B0110W	SY_B0110W	SUT	genenv	TRUE
chr02	339934	341200	+	CUT016	CUT016	CUT	XU09	FALSE
chr02	341359	341731	+	CUT017	CUT017	CUT	XU09	FALSE
chr02	341872	342420	+	CUT017	CUT017	CUT	XU09	FALSE
chr02	342942	344958	+	YBR054W	YRO2	ORF-T	SGD	FALSE
chr02	348182	349830	+	YBR056W	YBR056W	ORF-T	SGD	FALSE
chr02	351422	352390	+	YBR056W-A	YBR056W-A	ORF-T	SGD	TRUE
chr02	353823	354043	+	SY_B0117W	SY_B0117W	SUT	genenv	TRUE
chr02	363222	364993	+	SUT014	SUT014	SUT	XU09	FALSE
chr02	367163	368150	+	SY_B0119W	SY_B0119W	SUT	genenv	TRUE
chr02	370929	371273	+	SUT015	SUT015	SUT	XU09	FALSE
chr02	371801	373218	+	SUT016	SUT016	SUT	XU09	FALSE
chr02	373370	374109	+	SUT016	SUT016	SUT	XU09	FALSE
chr02	374400	376227	+	SY_B0123W	SY_B0123W	SUT	genenv	TRUE
chr02	376877	379005	+	SY_B0124W	SUT_SY0024	SUT	XU11	FALSE
chr02	380629	381688	+	YBR071W	YBR071W	ORF-T	SGD	FALSE
chr02	381736	382288	+	CUT023	CUT023	CUT	XU09	FALSE
chr02	382336	383202	+	YBR072W	HSP26	ORF-T	SGD	FALSE
chr02	383539	386397	+	YBR073W	RDH54	ORF-T	SGD	FALSE
chr02	386670	389710	+	YBR074W	YBR074W	ORF-T	SGD	FALSE
chr02	391139	392089	+	SY_B0130W	SY_B0130W	SUT	genenv	TRUE
chr02	392308	392747	+	SY_B0131W	SY_B0131W	SUT	genenv	TRUE
chr02	393385	395754	+	YBR078W	ECM33	ORF-T	SGD	FALSE
chr02	413937	414375	+	YBR083W	TEC1	ORF-T	XU09	FALSE
chr02	414467	415289	+	YBR083W	TEC1	ORF-T	XU09	FALSE
chr02	415398	417043	+	YBR083W	TEC1	ORF-T	SGD	FALSE
chr02	417387	420523	+	YBR084W	MIS1	ORF-T	SGD	FALSE
chr02	422235	423563	+	YBR085W	AAC3	ORF-T	SGD	FALSE
chr02	429726	429945	+	SY_B0138W	SY_B0138W	SUT	genenv	TRUE
chr02	430107	431259	+	YBR087W	RFC5	ORF-T	SGD	FALSE
chr02	433746	435866	+	SY_B0140W	SY_B0140W	SUT	genenv	TRUE
chr02	436333	438133	+	CUT025	CUT025	CUT	XU09	FALSE
chr02	438341	440774	+	YBR094W	PBY1	ORF-T	SGD	FALSE
chr02	442302	443158	+	YBR096W	YBR096W	ORF-T	SGD	FALSE
chr02	443270	447670	+	YBR097W	VPS15	ORF-T	SGD	FALSE
chr02	447862	450126	+	YBR098W	MMS4	ORF-T	SGD	FALSE
chr02	453927	455703	+	YBR103W	SIF2	ORF-T	SGD	FALSE
chr02	455943	457143	+	YBR104W	YMC2	ORF-T	SGD	FALSE
chr02	458957	460024	+	YBR106W	PHO88	ORF-T	SGD	FALSE
chr02	460160	461101	+	SUT017	SUT017	SUT	XU09	FALSE
chr02	461197	464254	+	YBR108W	AIM3	ORF-T	SGD	FALSE
chr02	465078	466750	+	YBR110W	ALG1	ORF-T	SGD	FALSE
chr02	468536	469160	+	YBR111W-A	SUS1	ORF-T	SGD	FALSE
chr02	473642	476162	+	YBR114W	RAD16	ORF-T	SGD	FALSE
chr02	480780	483365	+	SUT018	SUT018	SUT	XU09	FALSE
chr02	484046	485630	+	YBR118W	TEF2	ORF-T	SGD	FALSE
chr02	485742	486942	+	YBR119W	MUD1	ORF-T	SGD	FALSE
chr02	488313	488642	+	SY_B0157W	SY_B0157W	SUT	genenv	TRUE
chr02	492443	493283	+	SY_B0158W	SY_B0158W	SUT	genenv	TRUE
chr02	497346	497742	+	YBR126W-A	YBR126W-A	ORF-T	SGD	TRUE
chr02	498792	499280	+	SY_B0160W	SUT_SY0030	SUT	XU11	FALSE
chr02	499590	500238	+	CUT027	CUT027	CUT	XU09	FALSE
chr02	502072	502824	+	SY_B0162W	SUT_SY0032	SUT	XU11	FALSE
chr02	503688	506001	+	YBR131W	CCZ1	ORF-T	SGD	FALSE
chr02	506017	506410	+	SY_B0164W	SUT_SY0033	SUT	XU11	FALSE
chr02	508341	509913	+	SY_B0165W	SY_B0165W	SUT	genenv	TRUE
chr02	511321	512028	+	YBR135W	CKS1	ORF-T	SGD	FALSE
chr02	512188	519524	+	YBR136W	MEC1	ORF-T	SGD	FALSE
chr02	519540	520324	+	YBR137W	YBR137W	ORF-T	SGD	FALSE
chr02	520768	521974	+	SY_B0169W	SY_B0169W	SUT	genenv	TRUE
chr02	522213	523933	+	YBR139W	YBR139W	ORF-T	SGD	FALSE
chr02	533709	534365	+	YBR141W-A	YBR141W-A	ORF-T	SGD	TRUE
chr02	534805	537381	+	YBR142W	MAK5	ORF-T	SGD	FALSE
chr02	539078	539774	+	SUT019	SUT019	SUT	XU09	FALSE
chr02	540167	541535	+	YBR145W	ADH5	ORF-T	SGD	FALSE
chr02	541759	542863	+	YBR146W	MRPS9	ORF-T	SGD	FALSE
chr02	543023	544473	+	YBR147W	RTC2	ORF-T	SGD	FALSE
chr02	544561	546242	+	YBR148W	YSW1	ORF-T	SGD	TRUE
chr02	546514	547877	+	YBR149W	ARA1	ORF-T	SGD	FALSE
chr02	551540	552844	+	YBR151W	APD1	ORF-T	SGD	FALSE
chr02	552996	553996	+	YBR152W	SPP381	ORF-T	SGD	FALSE
chr02	554036	555068	+	YBR153W	RIB7	ORF-T	SGD	FALSE
chr02	556364	557716	+	YBR155W	CNS1	ORF-T	SGD	FALSE
chr02	560132	561972	+	SUT020	SUT020	SUT	XU09	FALSE
chr02	561988	562846	+	SUT020	SUT020	SUT	XU09	FALSE
chr02	562958	565014	+	YBR158W	AMN1	ORF-T	SGD	FALSE
chr02	565296	566528	+	YBR159W	IFA38	ORF-T	SGD	FALSE
chr02	566640	567737	+	YBR160W	CDC28	ORF-T	SGD	FALSE
chr02	568155	569587	+	YBR161W	CSH1	ORF-T	SGD	FALSE
chr02	570620	571643	+	SY_B0189W	SY_B0189W	SUT	genenv	TRUE
chr02	571845	572205	+	YBR162W-A	YSY6	ORF-T	SGD	FALSE
chr02	572317	574501	+	YBR163W	EXO5	ORF-T	SGD	FALSE
chr02	575453	576493	+	YBR165W	UBS1	ORF-T	SGD	FALSE
chr02	578669	580445	+	YBR168W	PEX32	ORF-T	SGD	FALSE
chr02	584989	585790	+	YBR171W	SEC66	ORF-T	SGD	FALSE
chr02	588456	588931	+	SY_B0195W	SY_B0195W	SUT	genenv	TRUE
chr02	589063	590143	+	YBR175W	SWD3	ORF-T	SGD	FALSE
chr02	590303	591423	+	YBR176W	ECM31	ORF-T	SGD	FALSE
chr02	601691	602556	+	SY_B0198W	SUT_SY0039	SUT	XU11	FALSE
chr02	602580	603821	+	YBR183W	YPC1	ORF-T	SGD	FALSE
chr02	604021	605629	+	YBR184W	YBR184W	ORF-T	SGD	FALSE
chr02	607316	608960	+	YBR186W	PCH2	ORF-T	SGD	TRUE
chr02	609182	610351	+	YBR187W	GDT1	ORF-T	SGD	FALSE
chr02	611143	612263	+	YBR189W	RPS9B	ORF-T	SGD	FALSE
chr02	612888	613936	+	YBR191W	RPL21A	ORF-T	SGD	FALSE
chr02	614136	615672	+	YBR192W	RIM2	ORF-T	SGD	FALSE
chr02	616592	617272	+	YBR194W	AIM4	ORF-T	SGD	FALSE
chr02	618865	619852	+	SY_B0207W	SY_B0207W	SUT	genenv	TRUE
chr02	621176	621538	+	CUT030	CUT030	CUT	XU09	FALSE
chr02	622155	622849	+	SY_B0209W	SY_B0209W	SUT	genenv	TRUE
chr02	622849	623982	+	SY_B0210W	SY_B0210W	SUT	genenv	TRUE
chr02	625515	627115	+	YBR199W	KTR4	ORF-T	SGD	FALSE
chr02	627499	629411	+	YBR200W	BEM1	ORF-T	SGD	FALSE
chr02	630155	631003	+	YBR201W	DER1	ORF-T	SGD	FALSE
chr02	632372	635129	+	YBR202W	MCM7	ORF-T	SGD	FALSE
chr02	635654	638860	+	YBR203W	COS111	ORF-T	SGD	FALSE
chr02	640276	641732	+	YBR205W	KTR3	ORF-T	SGD	FALSE
chr02	641764	643381	+	YBR207W	FTH1	ORF-T	SGD	FALSE
chr02	646837	648933	+	SY_B0218W	SUT_SY0041	SUT	XU11	FALSE
chr02	650737	651285	+	SY_B0219W	SY_B0219W	SUT	genenv	TRUE
chr02	652270	653102	+	YBR210W	ERV15	ORF-T	SGD	FALSE
chr02	654358	656982	+	YBR212W	NGR1	ORF-T	SGD	FALSE
chr02	657158	658232	+	YBR213W	MET8	ORF-T	SGD	FALSE
chr02	658248	660056	+	YBR214W	SDS24	ORF-T	SGD	FALSE
chr02	660200	662346	+	YBR215W	HPC2	ORF-T	SGD	FALSE
chr02	664692	665612	+	YBR217W	ATG12	ORF-T	SGD	FALSE
chr02	670692	671861	+	SY_B0226W	SY_B0226W	SUT	genenv	TRUE
chr02	674314	674798	+	SY_B0227W	SY_B0227W	SUT	genenv	TRUE
chr02	676247	677197	+	SY_B0228W	SY_B0228W	SUT	genenv	TRUE
chr02	677405	680455	+	YBR225W	YBR225W	ORF-T	SGD	FALSE
chr02	681876	682168	+	SY_B0230W	SY_B0230W	SUT	genenv	TRUE
chr02	682231	683247	+	YBR228W	SLX1	ORF-T	SGD	FALSE
chr02	687215	687583	+	YBR230W-A	YBR230W-A	ORF-T	SGD	FALSE
chr02	690227	691731	+	YBR233W	PBP2	ORF-T	SGD	FALSE
chr02	691859	692443	+	YBR233W-A	DAD3	ORF-T	SGD	FALSE
chr02	693739	697267	+	YBR235W	YBR235W	ORF-T	SGD	FALSE
chr02	698843	701563	+	YBR237W	PRP5	ORF-T	SGD	FALSE
chr02	701740	702544	+	SY_B0237W	SY_B0237W	SUT	genenv	TRUE
chr02	704763	705380	+	SUT021	SUT021	SUT	XU09	FALSE
chr02	705906	707039	+	SY_B0239W	SY_B0239W	SUT	genenv	TRUE
chr02	710877	711315	+	SY_B0240W	SY_B0240W	SUT	genenv	TRUE
chr02	711442	712394	+	YBR242W	YBR242W	ORF-T	SGD	FALSE
chr02	712997	713655	+	SY_B0242W	SY_B0242W	SUT	genenv	TRUE
chr02	714242	714378	+	YBR244W	GPX2	ORF-T	XU09	FALSE
chr02	714378	715106	+	YBR244W	GPX2	ORF-T	SGD	FALSE
chr02	718482	719842	+	YBR246W	RRT2	ORF-T	SGD	FALSE
chr02	721622	722499	+	CUT037	CUT037	CUT	XU09	FALSE
chr02	725298	727538	+	YBR250W	SPO23	ORF-T	SGD	FALSE
chr02	727872	728128	+	SY_B0248W	SY_B0248W	SUT	genenv	TRUE
