id	chrom	start	end
mrk_1053	chr02	720441	720441
mrk_1067	chr02	732103	732103
mrk_1080	chr02	745755	745755
mrk_1093	chr02	752287	752287
mrk_1107	chr02	763001	764870
mrk_1120	chr02	791548	792304
mrk_1133	chr02	809212	814116
mrk_1147	chr03	49786	49786
mrk_1160	chr03	59124	59124
mrk_1173	chr03	65957	65957
mrk_1187	chr03	74229	74373
mrk_1200	chr03	82656	82665
mrk_1213	chr03	96031	96151
mrk_1227	chr03	106923	106923
mrk_1240	chr03	114131	114131
mrk_1253	chr03	117583	117583
mrk_1267	chr03	125110	125110
mrk_1280	chr03	150307	151558
mrk_1293	chr03	169652	169994
mrk_1306	chr03	193955	194503
mrk_1320	chr03	203935	204052
mrk_1333	chr03	207932	207932
mrk_1346	chr03	211439	211439
mrk_1360	chr03	217228	217228
mrk_1373	chr03	236013	236992
mrk_1386	chr03	243265	243265
mrk_1400	chr03	253736	254051
mrk_1413	chr03	264684	264831
mrk_1426	chr03	276316	276316
mrk_1440	chr03	298707	299774
mrk_1453	chr04	8333	16078
mrk_1466	chr04	19372	19374
mrk_1480	chr04	22530	22530
mrk_1493	chr04	27285	27650
mrk_1506	chr04	32268	33187
mrk_1520	chr04	43444	43537
mrk_1533	chr04	54230	55109
mrk_1546	chr04	63990	64075
mrk_1560	chr04	67820	69122
mrk_1573	chr04	87751	88760
mrk_1586	chr04	109905	114849
mrk_1600	chr04	141992	143228
mrk_1613	chr04	159230	159450
mrk_1626	chr04	168613	169888
mrk_1640	chr04	177027	177297
mrk_1653	chr04	188149	188149
mrk_1666	chr04	202348	202348
mrk_1680	chr04	213339	213339
mrk_1693	chr04	218724	218724
mrk_1706	chr04	227584	227689
mrk_1720	chr04	233631	233725
mrk_1733	chr04	238580	238706
mrk_1746	chr04	249485	249485
mrk_1760	chr04	264375	264444
mrk_1773	chr04	272521	273073
mrk_1786	chr04	286597	287408
mrk_1800	chr04	301905	303028
mrk_1813	chr04	310566	310975
mrk_1826	chr04	332103	332436
mrk_1840	chr04	341331	341659
mrk_1853	chr04	351862	352102
mrk_1866	chr04	368154	368154
mrk_1880	chr04	373875	374306
mrk_1893	chr04	383064	383064
mrk_1906	chr04	391606	392779
mrk_1919	chr04	408397	408406
mrk_1933	chr04	415202	415202
mrk_1946	chr04	422716	424148
mrk_1959	chr04	430673	431378
mrk_1973	chr04	436458	437894
mrk_1986	chr04	446133	446159
mrk_1999	chr04	458046	461871
mrk_2013	chr04	506026	506026
mrk_2026	chr04	524369	524522
mrk_2039	chr04	530068	530279
mrk_2053	chr04	554607	554607
mrk_2066	chr04	563958	565385
mrk_2079	chr04	581414	581414
mrk_2093	chr04	592659	592659
mrk_2106	chr04	600970	602297
mrk_2119	chr04	622128	622564
mrk_2133	chr04	637915	638071
mrk_2146	chr04	646924	647327
mrk_2159	chr04	659305	660322
mrk_2173	chr04	674164	674204
mrk_2186	chr04	682794	682909
mrk_2199	chr04	688504	689011
mrk_2213	chr04	695631	695631
mrk_2226	chr04	701209	701401
mrk_2239	chr04	712241	712245
mrk_2253	chr04	723650	725359
mrk_2266	chr04	741026	741690
mrk_2279	chr04	760460	764473
mrk_2293	chr04	778280	778332
mrk_2306	chr04	783750	784724
mrk_2319	chr04	795082	795248
mrk_2333	chr04	807602	807638
mrk_2346	chr04	817265	817454
mrk_2359	chr04	826430	826430
mrk_2373	chr04	837492	837492
mrk_2386	chr04	841827	842070
mrk_2399	chr04	847251	848380
mrk_2413	chr04	854374	854374
mrk_2426	chr04	868666	868675
mrk_2439	chr04	899278	899278
mrk_2453	chr04	925456	925456
mrk_2466	chr04	935852	935986
mrk_2479	chr04	942714	951678
mrk_2493	chr04	964213	964679
mrk_2506	chr04	977809	984668
mrk_2519	chr04	999015	999015
mrk_2533	chr04	1010556	1010556
mrk_2546	chr04	1042134	1042134
mrk_2559	chr04	1062359	1062359
mrk_2572	chr04	1082664	1082797
mrk_2586	chr04	1155158	1155375
mrk_2599	chr04	1158141	1158930
mrk_2612	chr04	1188455	1195855
mrk_2626	chr04	1250649	1250655
mrk_2639	chr04	1270239	1270257
mrk_2652	chr04	1276368	1276439
mrk_2666	chr04	1285989	1286830
mrk_2679	chr04	1297060	1297504
mrk_2692	chr04	1304557	1304982
mrk_2706	chr04	1311898	1312976
mrk_2719	chr04	1322122	1322122
mrk_2732	chr04	1327746	1327746
mrk_2746	chr04	1336473	1336511
mrk_2759	chr04	1343812	1343921
mrk_2772	chr04	1349041	1349137
mrk_2786	chr04	1373055	1373501
mrk_2799	chr04	1414957	1414957
mrk_2812	chr04	1426861	1426947
mrk_2826	chr04	1439212	1440273
mrk_2839	chr04	1451946	1452003
mrk_2852	chr04	1458350	1458350
mrk_2866	chr04	1466272	1466299
mrk_2879	chr04	1472269	1472558
mrk_2892	chr04	1478109	1478962
mrk_2906	chr04	1490753	1491484
mrk_2919	chr04	1497549	1497549
mrk_2932	chr04	1499816	1499816
mrk_2946	chr04	1504475	1504512
mrk_2959	chr04	1512029	1512029
mrk_2972	chr04	1522468	1522468
mrk_2986	chr05	11465	11465
mrk_2999	chr05	14556	14594
mrk_3012	chr05	27167	27167
mrk_3026	chr05	32140	32140
mrk_3039	chr05	43095	43210
mrk_3052	chr05	51970	52064
mrk_3066	chr05	64378	64901
mrk_3079	chr05	68942	69140
mrk_3092	chr05	73137	73278
mrk_3106	chr05	84415	84415
mrk_3119	chr05	93365	94242
mrk_3132	chr05	99061	99098
mrk_3146	chr05	103159	103432
mrk_3159	chr05	108541	108910
mrk_3172	chr05	134506	137593
mrk_3185	chr05	156488	161375
mrk_3199	chr05	188971	188972
mrk_3212	chr05	196469	196752
mrk_3225	chr05	200871	203476
mrk_3239	chr05	211163	211242
mrk_3252	chr05	214556	217302
mrk_3265	chr05	227433	227433
mrk_3279	chr05	242557	242643
mrk_3292	chr05	249442	250442
mrk_3305	chr05	261917	263415
mrk_3319	chr05	281083	281592
mrk_3332	chr05	313092	313304
mrk_3345	chr05	327497	328088
mrk_3359	chr05	340265	340922
mrk_3372	chr05	356744	356857
mrk_3385	chr05	371530	371530
mrk_3399	chr05	386836	388652
mrk_3412	chr05	398968	399481
mrk_3425	chr05	410946	411461
mrk_3439	chr05	455987	456501
mrk_3452	chr05	466488	466602
mrk_3465	chr05	471417	471417
mrk_3479	chr05	490970	490970
mrk_3492	chr05	494872	494879
mrk_3505	chr05	505121	505121
mrk_3519	chr05	509579	509579
mrk_3532	chr05	514935	515778
mrk_3545	chr05	527265	527265
mrk_3559	chr05	532993	533037
mrk_3572	chr05	547936	547936
mrk_3585	chr05	559046	560581
mrk_3599	chr05	563403	563410
mrk_3612	chr05	567529	567535
mrk_3625	chr05	570446	570478
mrk_3639	chr05	572138	572140
mrk_3652	chr05	572697	572757
mrk_3665	chr05	573787	573807
mrk_3679	chr05	574714	575031
mrk_3692	chr06	32957	32966
mrk_3705	chr06	36396	36464
mrk_3719	chr06	43132	43132
mrk_3732	chr06	46782	46782
mrk_3745	chr06	58175	58175
mrk_3759	chr06	70364	70364
mrk_3772	chr06	74889	75020
mrk_3785	chr06	88583	92659
mrk_3799	chr06	98168	98168
mrk_3812	chr06	103831	103846
mrk_3825	chr06	108288	108889
mrk_3838	chr06	115889	115972
mrk_3852	chr06	145365	145572
mrk_3865	chr06	158319	158321
mrk_3878	chr06	160966	160969
mrk_3892	chr06	168724	169290
mrk_3905	chr06	172924	173900
mrk_3918	chr06	178942	178954
mrk_3932	chr06	190287	190287
mrk_3945	chr06	192588	192588
mrk_3958	chr06	198657	198968
mrk_3972	chr06	206307	206398
mrk_3985	chr06	208286	208614
mrk_3998	chr06	227212	227212
mrk_4012	chr06	235921	237741
mrk_4025	chr06	246095	246319
mrk_4038	chr06	259349	259794
mrk_4052	chr06	264051	264051
mrk_4065	chr06	267072	267246
mrk_4078	chr07	12252	12331
mrk_4092	chr07	20835	20930
mrk_4105	chr07	22425	22809
mrk_4118	chr07	33923	33923
mrk_4132	chr07	46665	46665
mrk_4145	chr07	64670	66164
mrk_4158	chr07	84460	84796
mrk_4172	chr07	95375	96146
mrk_4185	chr07	108210	108210
mrk_4198	chr07	116417	116417
mrk_4212	chr07	126893	126893
mrk_4225	chr07	133830	134169
mrk_4238	chr07	138798	138808
mrk_4252	chr07	145111	145111
mrk_4265	chr07	157048	157048
mrk_4278	chr07	167471	167471
mrk_4292	chr07	174081	175780
mrk_4305	chr07	184516	187982
mrk_4318	chr07	194500	194500
mrk_4332	chr07	200502	203150
mrk_4345	chr07	206298	209671
mrk_4358	chr07	218254	218254
mrk_4372	chr07	224113	224141
mrk_4385	chr07	234540	234540
mrk_4398	chr07	242393	242393
mrk_4412	chr07	249897	249897
mrk_4425	chr07	255051	255051
mrk_4438	chr07	260938	261058
mrk_4451	chr07	266935	267809
mrk_4465	chr07	274761	274767
mrk_4478	chr07	291030	292803
mrk_4491	chr07	307942	307962
mrk_4505	chr07	324313	324851
mrk_4518	chr07	354898	355192
mrk_4531	chr07	365943	367243
mrk_4545	chr07	388902	389725
mrk_4558	chr07	394654	395013
mrk_4571	chr07	400426	400469
mrk_4585	chr07	415556	415604
mrk_4598	chr07	432867	432952
mrk_4611	chr07	453025	453025
mrk_4625	chr07	465104	465338
mrk_4638	chr07	474640	474640
mrk_4651	chr07	526404	527883
mrk_4665	chr07	558836	559003
mrk_4678	chr07	587332	587332
mrk_4691	chr07	610077	610077
mrk_4705	chr07	626672	626672
mrk_4718	chr07	650300	650372
mrk_4731	chr07	661672	661673
mrk_4745	chr07	691409	698826
mrk_4758	chr07	740400	740400
mrk_4771	chr07	773433	773470
mrk_4785	chr07	776249	777801
mrk_4798	chr07	780441	780578
mrk_4811	chr07	782907	782907
mrk_4825	chr07	793062	793422
mrk_4838	chr07	800720	800927
mrk_4851	chr07	805403	805403
mrk_4865	chr07	812804	812845
mrk_4878	chr07	840000	840000
mrk_4891	chr07	853313	854090
mrk_4905	chr07	860319	860319
mrk_4918	chr07	863290	863495
mrk_4931	chr07	875414	876127
mrk_4945	chr07	881430	881430
mrk_4958	chr07	884222	884273
mrk_4971	chr07	895068	895083
mrk_4985	chr07	903981	903981
mrk_4998	chr07	916054	916111
mrk_5011	chr07	928884	932118
mrk_5025	chr07	936470	936470
mrk_5038	chr07	945223	945223
mrk_5051	chr07	951370	951370
mrk_5065	chr07	959637	959639
mrk_5078	chr07	970333	970333
mrk_5091	chr07	985608	985740
mrk_5104	chr07	996643	999271
mrk_5118	chr07	1007846	1007969
mrk_5131	chr07	1012553	1012699
mrk_5144	chr07	1017913	1017913
mrk_5158	chr07	1029719	1032044
mrk_5171	chr07	1043492	1043503
mrk_5184	chr07	1051752	1051752
mrk_5198	chr07	1063663	1063663
mrk_5211	chr07	1069229	1069336
mrk_5224	chr08	12769	12769
mrk_5238	chr08	18930	19093
mrk_5251	chr08	31327	31327
mrk_5264	chr08	48231	48231
mrk_5278	chr08	69754	69754
mrk_5291	chr08	74810	74840
mrk_5304	chr08	85199	85222
mrk_5318	chr08	103598	104532
mrk_5331	chr08	120905	120965
mrk_5344	chr08	142822	142858
mrk_5358	chr08	146742	146742
mrk_5371	chr08	160981	161500
mrk_5384	chr08	171709	171709
mrk_5398	chr08	182405	182655
mrk_5411	chr08	187440	187440
mrk_5424	chr08	194373	194407
mrk_5438	chr08	218767	218768
mrk_5451	chr08	232420	232420
mrk_5464	chr08	280127	280127
mrk_5478	chr08	316816	316964
mrk_5491	chr08	340300	340300
mrk_5504	chr08	344520	344654
mrk_5518	chr08	352727	353167
mrk_5531	chr08	358814	359550
mrk_5544	chr08	361649	361706
mrk_5558	chr08	367949	367949
mrk_5571	chr08	378050	378356
mrk_5584	chr08	395106	395106
mrk_5598	chr08	403639	404008
mrk_5611	chr08	410390	410650
mrk_5624	chr08	421256	421260
mrk_5638	chr08	427087	428520
mrk_5651	chr08	433981	433981
mrk_5664	chr08	444776	444920
mrk_5678	chr08	453462	454173
mrk_5691	chr08	458278	458765
mrk_5704	chr08	465480	465556
mrk_5717	chr08	467524	467709
mrk_5731	chr08	485707	485882
mrk_5744	chr08	498929	499135
mrk_5757	chr08	519149	519153
mrk_5771	chr09	35166	35173
mrk_5784	chr09	48685	48752
mrk_5797	chr09	53159	53171
mrk_5811	chr09	64128	66195
mrk_5824	chr09	74692	75004
mrk_5837	chr09	87663	87724
mrk_5851	chr09	94529	95144
mrk_5864	chr09	100554	100710
mrk_5877	chr09	102585	102587
mrk_5891	chr09	127775	127799
mrk_5904	chr09	138653	139016
mrk_5917	chr09	142880	142880
mrk_5931	chr09	152076	152080
mrk_5944	chr09	161114	161114
mrk_5957	chr09	172431	174012
mrk_5971	chr09	178538	178554
mrk_5984	chr09	190691	190691
mrk_5997	chr09	196596	196646
mrk_6011	chr09	202128	202792
mrk_6024	chr09	214007	216956
mrk_6037	chr09	225766	225766
mrk_6051	chr09	233947	233947
mrk_6064	chr09	244343	246361
mrk_6077	chr09	254677	254677
mrk_6091	chr09	269946	270003
mrk_6104	chr09	273612	273653
mrk_6117	chr09	280521	280773
mrk_6131	chr09	293652	293652
mrk_6144	chr09	312294	312357
mrk_6157	chr09	334346	334878
mrk_6171	chr09	362956	362956
mrk_6184	chr09	371623	372134
mrk_6197	chr09	379616	379616
mrk_6211	chr09	388189	388311
mrk_6224	chr09	391685	391685
mrk_6237	chr09	396158	396264
mrk_6251	chr09	399100	399100
mrk_6264	chr09	406428	407946
mrk_6277	chr09	415254	415471
mrk_6291	chr09	422400	422718
mrk_6304	chr09	427282	427282
mrk_6317	chr09	429902	429937
mrk_6331	chr09	432714	432747
mrk_6344	chr10	37996	37997
mrk_6357	chr10	52246	52246
mrk_6370	chr10	59009	59269
mrk_6384	chr10	67942	68549
mrk_6397	chr10	76781	77240
mrk_6410	chr10	80789	80873
mrk_6424	chr10	94831	95287
mrk_6437	chr10	110717	111648
mrk_6450	chr10	117296	117296
mrk_6464	chr10	127447	127919
mrk_6477	chr10	136749	136774
mrk_6490	chr10	142383	142876
mrk_6504	chr10	155586	155586
mrk_6517	chr10	161731	161731
mrk_6530	chr10	181352	185779
mrk_6544	chr10	197555	199406
mrk_6557	chr10	220778	220778
mrk_6570	chr10	230933	231982
mrk_6584	chr10	236694	237191
mrk_6597	chr10	240866	241442
mrk_6610	chr10	257779	258319
mrk_6624	chr10	279883	280214
mrk_6637	chr10	290156	290225
mrk_6650	chr10	294786	294841
mrk_6664	chr10	300108	300171
mrk_6677	chr10	306968	306974
mrk_6690	chr10	317977	317977
mrk_6704	chr10	328217	328217
mrk_6717	chr10	333068	333068
mrk_6730	chr10	342872	343779
mrk_6744	chr10	351020	351140
mrk_6757	chr10	360258	360990
mrk_6770	chr10	392353	392353
mrk_6784	chr10	396988	396988
mrk_6797	chr10	406039	406101
mrk_6810	chr10	436461	436461
mrk_6824	chr10	457830	457830
mrk_6837	chr10	463523	463525
mrk_6850	chr10	469255	469255
mrk_6864	chr10	488122	488559
mrk_6877	chr10	505557	510673
mrk_6890	chr10	522504	523143
mrk_6904	chr10	532610	532614
mrk_6917	chr10	550213	550406
mrk_6930	chr10	557892	558195
mrk_6944	chr10	566234	566327
mrk_6957	chr10	572121	572148
mrk_6970	chr10	577423	577714
mrk_6983	chr10	586731	586731
mrk_6997	chr10	599346	599346
mrk_7010	chr10	617119	617119
mrk_7023	chr10	623799	623799
mrk_7037	chr10	628930	628940
mrk_7050	chr10	637983	638110
mrk_7063	chr10	643500	643500
mrk_7077	chr10	663391	663391
mrk_7090	chr10	685236	685260
mrk_7103	chr10	717848	717848
mrk_7117	chr11	5296	5296
mrk_7130	chr11	12418	12418
mrk_7143	chr11	20002	20002
mrk_7157	chr11	30633	31275
mrk_7170	chr11	38019	38097
mrk_7183	chr11	43305	43432
mrk_7197	chr11	54270	54270
mrk_7210	chr11	70774	70774
mrk_7223	chr11	78217	78673
mrk_7237	chr11	83035	83206
mrk_7250	chr11	88432	89207
mrk_7263	chr11	93531	93531
mrk_7277	chr11	111908	114770
mrk_7290	chr11	136530	136836
mrk_7303	chr11	156761	160334
mrk_7317	chr11	171187	173424
mrk_7330	chr11	193143	193633
mrk_7343	chr11	200692	200811
mrk_7357	chr11	213759	217386
mrk_7370	chr11	221586	221785
mrk_7383	chr11	231494	231494
mrk_7397	chr11	261827	261827
mrk_7410	chr11	277552	277576
mrk_7423	chr11	279844	279858
mrk_7437	chr11	287864	287864
mrk_7450	chr11	296692	296692
mrk_7463	chr11	305923	305923
mrk_7477	chr11	309086	309280
mrk_7490	chr11	312310	312310
mrk_7503	chr11	315552	315552
mrk_7517	chr11	322286	322301
mrk_7530	chr11	327704	327839
mrk_7543	chr11	334666	334802
mrk_7557	chr11	341454	341454
mrk_7570	chr11	350193	350564
mrk_7583	chr11	356442	356757
mrk_7597	chr11	362407	362407
mrk_7610	chr11	367197	367197
mrk_7623	chr11	372169	372528
mrk_7636	chr11	379902	379902
mrk_7650	chr11	388284	388638
mrk_7663	chr11	402236	402236
mrk_7676	chr11	411729	411856
mrk_7690	chr11	432244	432349
mrk_7703	chr11	439195	440270
mrk_7716	chr11	448849	450241
mrk_7730	chr11	469099	469365
mrk_7743	chr11	479944	479980
mrk_7756	chr11	487498	488032
mrk_7770	chr11	509721	513035
mrk_7783	chr11	522803	523738
mrk_7796	chr11	531502	531502
mrk_7810	chr11	538144	540860
mrk_7823	chr11	552592	552672
mrk_7836	chr11	560177	560177
mrk_7850	chr11	567298	567388
mrk_7863	chr11	572410	572410
mrk_7876	chr11	576347	576629
mrk_7890	chr11	583424	583424
mrk_7903	chr11	592863	593088
mrk_7916	chr11	612849	613716
mrk_7930	chr11	619919	620703
mrk_7943	chr11	635264	638113
mrk_7956	chr12	19849	20165
mrk_7970	chr12	22822	22904
mrk_7983	chr12	29960	30339
mrk_7996	chr12	40564	41059
mrk_8010	chr12	51969	51973
mrk_8023	chr12	62371	63694
mrk_8036	chr12	74896	74896
mrk_8050	chr12	82210	84405
mrk_8063	chr12	88779	89940
mrk_8076	chr12	99502	99752
mrk_8090	chr12	123816	124302
mrk_8103	chr12	130957	131247
mrk_8116	chr12	143856	143856
mrk_8130	chr12	186377	186377
mrk_8143	chr12	203750	203798
mrk_8156	chr12	234487	236580
mrk_8170	chr12	248276	248402
mrk_8183	chr12	253754	253754
mrk_8196	chr12	258623	260358
mrk_8210	chr12	269923	269923
mrk_8223	chr12	276749	276749
mrk_8236	chr12	281075	281075
mrk_8249	chr12	288300	288712
mrk_8263	chr12	299023	299023
mrk_8276	chr12	306221	310210
mrk_8289	chr12	319939	320777
mrk_8303	chr12	327356	327362
mrk_8316	chr12	333868	334424
mrk_8329	chr12	340505	340526
mrk_8343	chr12	357826	365558
mrk_8356	chr12	401486	401486
mrk_8369	chr12	407719	408772
mrk_8383	chr12	430460	434372
mrk_8396	chr12	494101	495132
mrk_8409	chr12	507497	507497
mrk_8423	chr12	515071	515071
mrk_8436	chr12	524384	524384
mrk_8449	chr12	536170	536179
mrk_8463	chr12	538912	538912
mrk_8476	chr12	553069	553069
mrk_8489	chr12	563695	564246
mrk_8503	chr12	572422	572665
mrk_8516	chr12	582969	582978
mrk_8529	chr12	589686	589694
mrk_8543	chr12	604748	604748
mrk_8556	chr12	618240	625298
mrk_8569	chr12	643703	643835
mrk_8583	chr12	665894	665964
mrk_8596	chr12	689015	689950
mrk_8609	chr12	702805	702985
mrk_8623	chr12	713914	720520
mrk_8636	chr12	732636	732677
mrk_8649	chr12	746340	746351
mrk_8663	chr12	751352	751352
mrk_8676	chr12	761332	761412
mrk_8689	chr12	766572	766572
mrk_8703	chr12	774189	774189
mrk_8716	chr12	780827	780899
mrk_8729	chr12	785928	785928
mrk_8743	chr12	793851	794003
mrk_8756	chr12	798711	799191
mrk_8769	chr12	806425	807443
mrk_8783	chr12	811548	812633
mrk_8796	chr12	816771	816884
mrk_8809	chr12	820209	820229
mrk_8823	chr12	824743	824743
mrk_8836	chr12	831049	831049
mrk_8849	chr12	836814	836875
mrk_8863	chr12	844194	846860
mrk_8876	chr12	859778	860674
mrk_8889	chr12	869423	869423
mrk_8902	chr12	878145	878273
mrk_8916	chr12	886585	886687
mrk_8929	chr12	898170	898170
mrk_8942	chr12	912943	913285
mrk_8956	chr12	927282	927413
mrk_8969	chr12	939187	939270
mrk_8982	chr12	952661	952973
mrk_8996	chr12	967669	973868
mrk_9009	chr12	997539	998027
mrk_9022	chr12	1012605	1012744
mrk_9036	chr12	1023633	1024145
mrk_9049	chr12	1034305	1034305
mrk_9062	chr12	1053294	1053306
mrk_9076	chr12	1063506	1063535
mrk_9089	chr13	23576	23831
mrk_9102	chr13	26443	26443
mrk_9116	chr13	38180	38180
mrk_9129	chr13	53797	53802
mrk_9142	chr13	67995	67995
mrk_9156	chr13	75430	75430
mrk_9169	chr13	78014	78014
mrk_9182	chr13	83165	83213
mrk_9196	chr13	90849	90849
mrk_9209	chr13	101898	102596
mrk_9222	chr13	115526	117706
mrk_9236	chr13	125946	127501
mrk_9249	chr13	132002	132111
mrk_9262	chr13	139010	139010
mrk_9276	chr13	148039	150608
mrk_9289	chr13	159809	161488
mrk_9302	chr13	169859	169859
mrk_9316	chr13	192246	192459
mrk_9329	chr13	210675	212735
mrk_9342	chr13	217652	217702
mrk_9356	chr13	226265	226277
mrk_9369	chr13	234629	234629
mrk_9382	chr13	242392	242392
mrk_9396	chr13	262210	263117
mrk_9409	chr13	285399	285399
mrk_9422	chr13	295229	295229
mrk_9436	chr13	304107	304107
mrk_9449	chr13	309183	309245
mrk_9462	chr13	315013	318305
mrk_9476	chr13	324305	325358
mrk_9489	chr13	334399	334792
mrk_9502	chr13	337578	337578
mrk_9515	chr13	343439	343439
mrk_9529	chr13	350270	350418
mrk_9542	chr13	363151	363151
mrk_9555	chr13	369280	369683
mrk_9569	chr13	382490	382490
mrk_9582	chr13	390353	390371
mrk_9595	chr13	396779	396890
mrk_9609	chr13	402800	402800
mrk_9622	chr13	407854	408257
mrk_9635	chr13	417363	417435
mrk_9649	chr13	422287	422287
mrk_9662	chr13	431429	431438
mrk_9675	chr13	437355	437355
mrk_9689	chr13	443467	444889
mrk_9702	chr13	458642	458822
mrk_9715	chr13	463688	463738
mrk_9729	chr13	469900	470062
mrk_9742	chr13	479244	480203
mrk_9755	chr13	495336	495345
mrk_9769	chr13	502521	502661
mrk_9782	chr13	505365	505432
mrk_9795	chr13	512449	513163
mrk_9809	chr13	523461	523461
mrk_9822	chr13	531288	531295
mrk_9835	chr13	541077	541077
mrk_9849	chr13	555183	555524
mrk_9862	chr13	563635	566935
mrk_9875	chr13	580137	580911
mrk_9889	chr13	594230	598300
mrk_9902	chr13	613350	613350
mrk_9915	chr13	625092	625575
mrk_9929	chr13	631482	631482
mrk_9942	chr13	642743	644463
mrk_9955	chr13	661580	661580
mrk_9969	chr13	669029	669187
mrk_9982	chr13	676506	676506
mrk_9995	chr13	689884	689920
mrk_10009	chr13	702531	703510
mrk_10022	chr13	709507	710916
mrk_10035	chr13	715947	715947
mrk_10049	chr13	727266	728612
mrk_10062	chr13	743080	743203
mrk_10075	chr13	755460	756808
mrk_10089	chr13	779569	779569
mrk_10102	chr13	798496	799153
mrk_10115	chr13	815315	816077
mrk_10129	chr13	823009	823390
mrk_10142	chr13	832672	832765
mrk_10155	chr13	841046	842189
mrk_10168	chr13	850600	852572
mrk_10182	chr13	860691	860706
mrk_10195	chr13	870144	870144
mrk_10208	chr13	911176	911851
mrk_10222	chr14	17659	17663
mrk_10235	chr14	28205	28352
mrk_10248	chr14	34125	34313
mrk_10262	chr14	42961	43010
mrk_10275	chr14	47690	47939
mrk_10288	chr14	52852	53178
mrk_10302	chr14	77228	77228
mrk_10315	chr14	90963	90963
mrk_10328	chr14	104807	104906
mrk_10342	chr14	108789	109386
mrk_10355	chr14	113713	113713
mrk_10368	chr14	120598	120914
mrk_10382	chr14	132990	134590
mrk_10395	chr14	140866	140882
mrk_10408	chr14	159579	159579
mrk_10422	chr14	173234	173234
mrk_10435	chr14	184751	185411
mrk_10448	chr14	192915	193101
mrk_10462	chr14	199674	200065
mrk_10475	chr14	216237	216237
mrk_10488	chr14	243965	243965
mrk_10502	chr14	293546	293546
mrk_10515	chr14	300927	301765
mrk_10528	chr14	324085	324726
mrk_10542	chr14	335828	335882
mrk_10555	chr14	346154	346607
mrk_10568	chr14	353435	353435
mrk_10582	chr14	357422	357422
mrk_10595	chr14	361130	361825
mrk_10608	chr14	376813	381426
mrk_10622	chr14	395702	396235
mrk_10635	chr14	412921	413074
mrk_10648	chr14	422345	422345
mrk_10662	chr14	427800	428439
mrk_10675	chr14	441876	441939
mrk_10688	chr14	453421	456511
mrk_10702	chr14	480642	480924
mrk_10715	chr14	495985	495985
mrk_10728	chr14	500876	500918
mrk_10742	chr14	512135	513188
mrk_10755	chr14	525629	526128
mrk_10768	chr14	535016	535016
mrk_10781	chr14	544242	544327
mrk_10795	chr14	553743	554038
mrk_10808	chr14	562258	562293
mrk_10821	chr14	578419	578433
mrk_10835	chr14	586874	586932
mrk_10848	chr14	593483	594480
mrk_10861	chr14	607366	607472
mrk_10875	chr14	616746	616746
mrk_10888	chr14	628787	628790
mrk_10901	chr14	637651	637651
mrk_10915	chr14	648132	649337
mrk_10928	chr14	659339	659945
